,Nome,Data,Pagamento,Cotação,Yield,Rendimento
0,AAGR11,2024-10-08,2024-10-15,96.92,1.11,1.07
1,AAGR11,2024-09-06,2024-09-13,95.8,1.17,1.12
2,AAGR11,2024-08-08,2024-08-15,96.57,1.21,1.17
3,AAGR11,2024-07-08,2024-07-15,95.37,1.12,1.06
4,AAGR11,2024-06-07,2024-06-14,93.53,1.2,1.13
5,AAGR11,2024-05-08,2024-05-15,94.48,1.26,1.19
6,AAGR11,2024-04-08,2024-04-15,85.03,1.23,1.05
7,AAGR11,2024-03-08,2024-03-15,90.69,0.98,0.89
8,AAZQ11,2024-10-31,2024-11-14,6.73,1.41,0.1
9,AAZQ11,2024-09-30,2024-10-14,7.2,1.32,0.1
10,AAZQ11,2024-08-30,2024-09-13,7.85,1.21,0.1
11,AAZQ11,2024-07-31,2024-08-14,7.67,1.24,0.1
12,AAZQ11,2024-06-28,2024-07-12,7.19,1.53,0.11
13,AAZQ11,2024-05-31,2024-06-14,8.47,1.3,0.11
14,AAZQ11,2024-04-30,2024-05-15,8.84,1.24,0.11
15,AAZQ11,2024-03-28,2024-04-12,8.84,1.36,0.12
16,AAZQ11,2024-02-29,2024-03-14,8.81,1.36,0.12
17,AAZQ11,2024-01-31,2024-02-16,9.0,1.33,0.12
18,AAZQ11,2023-12-28,2024-01-15,8.76,1.37,0.12
19,AAZQ11,2023-11-30,2023-12-14,8.76,1.37,0.12
20,AAZQ11,2023-10-31,2023-11-16,8.83,1.36,0.12
21,AAZQ11,2023-09-29,2023-10-16,9.03,1.33,0.12
22,AAZQ11,2023-08-31,2023-09-15,9.02,1.33,0.12
23,AAZQ11,2023-07-31,2023-08-14,9.02,1.33,0.12
24,AAZQ11,2023-06-30,2023-07-14,9.34,1.07,0.1
25,AAZQ11,2023-05-31,2023-06-15,9.25,1.41,0.13
26,AAZQ11,2023-04-28,2023-05-15,9.26,1.51,0.14
27,AAZQ11,2023-03-31,2023-04-17,9.31,1.61,0.15
28,AAZQ11,2023-02-28,2023-03-14,9.49,1.37,0.13
29,AAZQ11,2023-01-31,2023-02-14,9.26,1.62,0.15
30,ABCP11,2024-10-31,2024-11-07,77.0,0.91,0.7
31,ABCP11,2024-09-30,2024-10-07,71.8,0.97,0.7
32,ABCP11,2024-08-30,2024-09-06,72.12,0.86,0.62
33,ABCP11,2024-07-31,2024-08-07,65.21,0.95,0.62
34,ABCP11,2024-06-28,2024-07-05,67.72,0.52,0.35
35,ABCP11,2024-05-31,2024-06-07,68.04,0.69,0.47
36,ABCP11,2024-04-30,2024-05-08,69.38,0.68,0.47
37,ABCP11,2024-03-28,2024-04-05,75.26,0.66,0.5
38,ABCP11,2024-02-29,2024-03-07,78.14,0.64,0.5
39,ABCP11,2024-01-31,2024-02-07,73.47,1.12,0.82
40,ABCP11,2023-12-28,2024-01-08,67.58,0.96,0.65
41,ABCP11,2023-11-30,2023-12-07,67.22,0.89,0.6
42,ABCP11,2023-10-31,2023-11-08,66.94,0.9,0.6
43,ABCP11,2023-09-29,2023-10-06,65.09,0.92,0.6
44,ABCP11,2023-08-31,2023-09-08,68.94,0.73,0.5
45,ABCP11,2023-07-31,2023-08-07,69.6,0.72,0.5
46,ABCP11,2023-06-30,2023-07-07,69.26,0.72,0.5
47,ABCP11,2023-05-31,2023-06-07,67.37,0.74,0.5
48,ABCP11,2023-04-28,2023-05-08,66.17,0.76,0.5
49,ABCP11,2023-03-31,2023-04-10,62.63,0.8,0.5
50,ABCP11,2023-02-28,2023-03-07,62.51,0.8,0.5
51,ABCP11,2023-01-31,2023-02-07,64.38,0.78,0.5
52,ABCP11,2022-11-30,2022-12-07,71.63,0.84,0.6
53,ABCP11,2022-10-31,2022-11-08,72.83,0.76,0.55
54,ABCP11,2022-09-30,2022-10-07,71.26,0.73,0.52
55,ABCP11,2022-08-31,2022-09-08,73.69,0.75,0.55
56,ABCP11,2022-07-29,2022-08-05,65.44,0.81,0.53
57,ABCP11,2022-06-30,2022-07-07,67.47,0.8,0.54
58,ABCP11,2022-05-31,2022-06-07,70.19,0.84,0.59
59,ABCP11,2022-04-29,2022-05-06,71.22,0.91,0.65
60,ABCP11,2022-03-31,2022-04-07,70.57,0.71,0.5
61,ABCP11,2022-02-25,2022-03-08,74.57,0.6,0.45
62,ABCP11,2022-01-31,2022-02-07,71.93,1.07,0.77
63,ABCP11,2021-12-30,2022-01-10,67.76,0.86,0.58
64,ABCP11,2021-11-30,2021-12-08,59.38,0.94,0.56
65,ABCP11,2021-10-29,2021-11-09,64.84,0.71,0.46
66,ABCP11,2021-09-30,2021-10-08,67.03,0.63,0.42
67,ABCP11,2021-08-31,2021-09-09,71.15,0.59,0.42
68,ABCP11,2021-07-30,2021-08-09,72.12,0.73,0.53
69,ABCP11,2021-06-30,2021-07-08,66.87,0.76,0.51
70,ABCP11,2021-05-31,2021-06-09,70.47,0.55,0.39
71,ABCP11,2021-03-31,2021-04-09,75.9,0.07,0.05
72,ABCP11,2021-02-26,2021-03-08,74.53,0.54,0.4
73,ABCP11,2021-01-29,2021-02-08,75.44,0.74,0.56
74,ABCP11,2020-12-30,2021-01-11,72.1,0.57,0.41
75,ABCP11,2020-11-30,2020-12-08,75.9,0.46,0.35
76,ABCP11,2020-10-30,2020-11-10,73.34,0.41,0.3
77,ABCP11,2020-09-30,2020-10-08,77.21,0.25,0.19
78,ABCP11,2020-08-31,2020-09-08,86.22,0.13,0.11
79,ABCP11,2020-06-30,2020-07-07,85.28,0.57,0.49
80,ABCP11,2020-02-28,2020-03-06,99.98,0.49,0.49
81,ABCP11,2020-01-31,2020-02-07,103.58,0.8,0.83
82,ABCP11,2019-12-30,2020-01-08,106.32,0.46,0.49
83,ABCP11,2019-11-29,2019-12-06,97.93,0.5,0.49
84,ABCP11,2019-10-31,2019-11-07,0.0,0.0,0.49
85,ABCP11,2019-09-30,2019-10-07,0.0,0.0,0.49
86,ABCP11,2019-08-30,2019-09-06,0.0,0.0,0.49
87,ABCP11,2019-07-31,2019-08-07,0.0,0.0,0.45
88,ABCP11,2019-06-28,2019-07-05,0.0,0.0,0.45
89,ABCP11,2019-05-31,2019-06-07,0.0,0.0,0.45
90,ABCP11,2019-04-30,2019-05-08,0.0,0.0,0.45
91,ABCP11,2019-03-29,2019-04-05,0.0,0.0,0.45
92,ABCP11,2019-02-28,2019-03-11,0.0,0.0,0.45
93,ABCP11,2019-01-31,2019-02-07,0.0,0.0,0.65
94,ABCP11,2018-12-28,2019-01-08,0.0,0.0,0.45
95,ABCP11,2018-11-30,2018-12-07,0.0,0.0,0.45
96,ABCP11,2018-10-31,2018-11-08,0.0,0.0,0.43
97,ABCP11,2018-09-28,2018-10-05,0.0,0.0,0.43
98,ABCP11,2018-08-31,2018-09-10,0.0,0.0,0.43
99,ABCP11,2018-07-31,2018-08-07,0.0,0.0,0.43
100,ABCP11,2018-06-29,2018-07-06,0.0,0.0,0.43
101,ABCP11,2018-05-30,2018-06-07,0.0,0.0,0.43
102,ABCP11,2018-04-30,2018-05-08,0.0,0.0,0.4
103,ABCP11,2018-03-29,2018-04-06,0.0,0.0,0.4
104,ABCP11,2018-02-28,2018-03-07,0.0,0.0,0.4
105,ABCP11,2018-01-31,2018-02-07,0.0,0.0,0.6
106,ABCP11,2017-12-28,2018-01-08,0.0,0.0,0.4
